img,title,company,rating,review,location,experience
https://static.ambitionbox.com/alpha/company/photos/logos/ford-motor.jpg,Data Scientist,Ford Global Business Services,4.5,2.8k,Chennai,2-3 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/ford-motor.jpg,Data scientist,Ford Global Business Services,4.5,2.8k,Chennai,2-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/sanofi.jpg,Senior Data Scientist,Sanofi India Ltd,4.4,1k,Hyderabad / Secunderabad,3-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/sanofi.jpg,Senior Data Scientist,Sanofi India Ltd,4.4,1k,Hyderabad / Secunderabad,2-7 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/jp-morgan-chase.jpg,JP Morgan Chase - Associate - Data Scientist - Core Analytics (8-10 yrs),JP Morgan Chase,4.1,5k,Bangalore / Bengaluru,8-10 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/ibm.jpg,Data Scientist,IBM India Pvt. Limited,4.1,19.8k,Bangalore / Bengaluru,3-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/uber.jpg,Senior Data Scientist,Uber,4.2,711,Bangalore / Bengaluru,6-11 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/ibm.jpg,Sr Data Scientist,IBM India Pvt. Limited,4.1,19.8k,Bangalore / Bengaluru,4-8 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/ibm.jpg,Data Scientist,IBM India Pvt. Limited,4.1,19.8k,"Pune, Mumbai",3-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/walmart.jpg,Data Scientist III,Walmart Labs,4.0,2k,Bangalore / Bengaluru,4-9 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/ibm.jpg,Data Scientist,IBM India Pvt. Limited,4.1,19.8k,Cochin/Ernakulam/Kochi,3-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/ibm.jpg,"DevOps, Data Scientist",IBM India Pvt. Limited,4.1,19.8k,Bangalore / Bengaluru,4-8 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/ibm.jpg,Data Scientist: Artificial Intelligence,IBM India Pvt. Limited,4.1,19.8k,Bangalore / Bengaluru,3-7 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/hitachi.jpg,Data Scientist - Lead,Hitachi Ltd.,4.1,536,Remote,4-7 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/hitachi.jpg,Data Scientist,Hitachi Ltd.,4.1,536,Remote,4-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/infosys.jpg,Data Scientist,Infosys Limited,3.8,32k,Bangalore / Bengaluru,5-7 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/infosys.jpg,Data Scientist,Infosys Limited,3.8,32k,Bangalore / Bengaluru,7-9 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/unilever.jpg,Lead Data Scientist,Hindustan Unilever Ltd,4.3,5k,Mumbai,3-4 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/walmart.jpg,"Principal, data scientist",Walmart Labs,4.0,2k,Bangalore / Bengaluru,7-12 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/caterpillar_inc.jpg,Senior Data Scientist,CATERPILLAR INDIA PRIVATE LTD,4.2,1k,Chennai,7-9 Yrs
